countdown_index,title,year,tMeterScore,adjusted_score,critics_consensus,synopsis,synopsis_link,director,cast
52,Dirty Harry,1971,89.0,93.658,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.","""You've got to ask yourself a question: 'do I feel lucky?' Well, do ya, punk?"" Dirty Harry provoked a critical...",https://www.rottentomatoes.com/m/dirty_harry/,Don Siegel,"Clint Eastwood, Andrew Robinson, Harry Guardino, John Mitchum"
51,Live Die Repeat: Edge of Tomorrow,2014,90.0,102.564,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.","The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the...",https://www.rottentomatoes.com/m/live_die_repeat_edge_of_tomorrow/,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong"
50,X2: X-Men United,2003,85.0,92.173,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.","When a failed assassination attempt occurs on the President's (Cotter Smith) life by the teleporting mutant Nightcrawler (Alan Cumming), it's...",https://www.rottentomatoes.com/m/x2_xmen_united/,Bryan Singer,"Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen"
49,The Fugitive,1993,96.0,101.937,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.",This 1993 box-office smash partly adheres to the 1960s TV series on which it is based and partly goes off...,https://www.rottentomatoes.com/m/1046129-fugitive/,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
48,Black Panther,2018,97.0,119.284,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"""Black Panther"" follows T'Challa who, after the events of ""Captain America: Civil War,"" returns home to the isolated, technologically advanced...",https://www.rottentomatoes.com/m/black_panther_2018/,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
47,Inception,2010,87.0,97.914,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.","Visionary filmmaker Christopher Nolan (Memento, The Dark Knight) writes and directs this psychological sci-fi action film about a thief who...",https://www.rottentomatoes.com/m/inception/,Christopher Nolan,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard"
46,Braveheart,1995,77.0,81.942,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.","Mel Gibson, long-time heartthrob of the silver screen, came into his own as a director with Braveheart, an account of...",https://www.rottentomatoes.com/m/1065684-braveheart/,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack"
45,Minority Report,2002,90.0,97.34,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.","Based on a short story by the late Philip K. Dick, this science fiction-thriller reflects the writer's familiar preoccupation with...",https://www.rottentomatoes.com/m/minority_report/,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
44,Avengers: Endgame,2019,94.0,117.39,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers...,https://www.rottentomatoes.com/m/avengers_endgame/,Joe Russo,"Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans"
43,Dredd,2012,79.0,84.558,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.","The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega...",https://www.rottentomatoes.com/m/dredd/,Pete Travis,"Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey"
42,The Bourne Identity,2002,83.0,88.28,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.","The best-selling suspense novel by late author Robert Ludlum comes to the screen for a second time, following a 1988...",https://www.rottentomatoes.com/m/bourne_identity/,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen"
41,Ip Man,2010,85.0,77.681,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.","Wing Chun grandmaster Ip has an amazing wife, plenty of money, the most beautiful house in town, and a blossoming...",https://www.rottentomatoes.com/m/ip_man/,Wilson Yip,"Donnie Yen, Hiroyuki Ikeuchi, Simon Yam, Xiong Dailin"
40,Face/Off,1997,92.0,97.201,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.","The third of John Woo's American-made feature films, Face/Off stars John Travolta as Sean Archer, an FBI agent obsessed with...",https://www.rottentomatoes.com/m/faceoff/,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
39,To Live and Die in L.A.,1985,91.0,92.949,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.","William Friedkin's crime thriller, based on a book by U.S. Secret Service agent Gerald Petievich, concerns an arrogant Secret Service...",https://www.rottentomatoes.com/m/to_live_and_die_in_la/,William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer"
38,The Dark Knight,2008,94.0,107.208,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming...",https://www.rottentomatoes.com/m/the_dark_knight/,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal"
37,Mission: Impossible Ghost Protocol,2011,93.0,100.554,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.",This is not just another mission. The IMF is shut down when it's implicated in a global terrorist bombing plot....,https://www.rottentomatoes.com/m/mission_impossible_ghost_protocol/,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
36,Fast Five,2011,77.0,82.948,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.",Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law....,https://www.rottentomatoes.com/m/fast_five/,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnson"
35,Lethal Weapon,1987,82.0,86.272,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.","L.A. cop Martin Riggs (Mel Gibson), whose wife has recently died, is a loose cannon with a seeming death wish....",https://www.rottentomatoes.com/m/lethal_weapon/,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Darlene Love"
